epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8689,1.9852,1.19841,1.43397,0.89646,0.86473,0.8467,0.3943,1.79676,0.85704,1.32065,0.000330159,0.000330159,0.0673143
2,162.307,1.89089,0.92228,1.36654,0.88502,0.91016,0.88377,0.41436,1.79455,0.78921,1.3176,0.00066333,0.00066333,0.0343141
3,254.451,1.87682,0.89901,1.35557,0.8992,0.9077,0.88279,0.38912,1.8077,0.82604,1.31214,0.000995852,0.000995852,0.00131331
4,346.269,1.82102,0.85375,1.32285,0.83848,0.9374,0.87045,0.40286,1.79227,0.76885,1.32005,0.000997803,0.000997803,0.000997803
5,458.926,1.82596,0.82953,1.32828,0.84305,0.88935,0.85431,0.3985,1.81559,0.78325,1.31827,0.000996097,0.000996097,0.000996097
6,565.606,1.80455,0.81213,1.32734,0.86725,0.9155,0.88379,0.43139,1.75145,0.73333,1.28179,0.000993906,0.000993906,0.000993906
7,669.166,1.79962,0.81769,1.32548,0.89723,0.91293,0.86871,0.37382,1.90063,0.74569,1.35324,0.000991232,0.000991232,0.000991232
8,787.376,1.79513,0.80458,1.31082,0.91489,0.93135,0.89891,0.43409,1.75976,0.70554,1.29346,0.000988079,0.000988079,0.000988079
9,889.43,1.78124,0.79539,1.2979,0.90505,0.91309,0.87946,0.42582,1.7804,0.69521,1.29463,0.000984449,0.000984449,0.000984449
10,999.713,1.7772,0.78496,1.29642,0.9,0.93293,0.89283,0.43403,1.74249,0.69536,1.26744,0.000980345,0.000980345,0.000980345
11,1109.91,1.76786,0.76593,1.29158,0.90297,0.92821,0.89024,0.39212,1.84111,0.71006,1.31014,0.000975773,0.000975773,0.000975773
12,1207.55,1.75031,0.75875,1.29041,0.91482,0.94019,0.91002,0.4451,1.73502,0.70066,1.26387,0.000970736,0.000970736,0.000970736
13,1300.4,1.74942,0.75724,1.27949,0.89822,0.92658,0.90089,0.4505,1.70956,0.67217,1.25876,0.000965239,0.000965239,0.000965239
14,1413.35,1.7541,0.76604,1.28467,0.86418,0.9115,0.87324,0.37176,1.90753,0.76559,1.34478,0.000959289,0.000959289,0.000959289
15,1528.86,1.75853,0.76612,1.28681,0.85271,0.81561,0.78099,0.35057,1.83704,0.75771,1.31498,0.000952889,0.000952889,0.000952889
16,1632.73,1.71428,0.75232,1.26865,0.92325,0.94798,0.91141,0.46097,1.69579,0.66154,1.23783,0.000946048,0.000946048,0.000946048
17,1741.47,1.7198,0.73821,1.27093,0.91226,0.92806,0.90009,0.43,1.73097,0.70023,1.26189,0.000938772,0.000938772,0.000938772
18,1889.2,1.71316,0.73194,1.263,0.89875,0.91572,0.88044,0.4295,1.77181,0.68936,1.28095,0.000931067,0.000931067,0.000931067
19,2001.58,1.69549,0.73484,1.26015,0.92523,0.94651,0.91251,0.44391,1.71956,0.67035,1.25448,0.000922942,0.000922942,0.000922942
20,2129,1.71331,0.73186,1.27434,0.92741,0.95276,0.91943,0.46551,1.71141,0.658,1.24542,0.000914405,0.000914405,0.000914405
21,2235.8,1.68342,0.71088,1.25517,0.90526,0.93807,0.90353,0.44379,1.72738,0.66109,1.25355,0.000905463,0.000905463,0.000905463
22,2359.11,1.68545,0.71732,1.25637,0.9107,0.93409,0.90427,0.43557,1.75087,0.69523,1.26196,0.000896127,0.000896127,0.000896127
23,2489.31,1.67264,0.70975,1.25063,0.93375,0.95215,0.93205,0.47551,1.69792,0.63455,1.24854,0.000886404,0.000886404,0.000886404
24,2625.73,1.69637,0.72064,1.26177,0.90665,0.93549,0.91021,0.45435,1.73422,0.67055,1.25978,0.000876305,0.000876305,0.000876305
25,2764.95,1.68182,0.7156,1.25224,0.90703,0.92645,0.90354,0.44175,1.7642,0.66998,1.27475,0.000865839,0.000865839,0.000865839
26,2914.71,1.66073,0.69962,1.23834,0.92333,0.9446,0.91259,0.46662,1.70312,0.64073,1.2437,0.000855018,0.000855018,0.000855018
27,3142.39,1.65443,0.692,1.23305,0.87764,0.896,0.86851,0.40481,1.8273,0.69862,1.30207,0.000843851,0.000843851,0.000843851
28,3274.82,1.67466,0.7005,1.24631,0.92905,0.95092,0.92248,0.46548,1.67714,0.66675,1.23594,0.000832349,0.000832349,0.000832349
29,3433.84,1.66334,0.69415,1.24229,0.9259,0.94151,0.90915,0.45723,1.72025,0.6402,1.25314,0.000820525,0.000820525,0.000820525
30,3594.81,1.6613,0.69415,1.2441,0.9091,0.93704,0.89479,0.4538,1.70841,0.64649,1.24693,0.000808389,0.000808389,0.000808389
31,3749.47,1.64658,0.6812,1.24421,0.89925,0.92916,0.89755,0.44943,1.73538,0.64879,1.253,0.000795954,0.000795954,0.000795954
32,3902.62,1.6522,0.6858,1.2409,0.92027,0.94019,0.908,0.45795,1.70229,0.63882,1.24359,0.000783231,0.000783231,0.000783231
33,4055.01,1.65492,0.6821,1.23638,0.90626,0.924,0.89238,0.43868,1.74385,0.65357,1.2578,0.000770234,0.000770234,0.000770234
34,4186.46,1.63635,0.67435,1.23279,0.89833,0.93606,0.90256,0.43339,1.75549,0.6525,1.26573,0.000756976,0.000756976,0.000756976
35,4330.28,1.63492,0.6718,1.22792,0.92985,0.95099,0.93033,0.4713,1.69383,0.63531,1.24225,0.000743468,0.000743468,0.000743468
36,4491.76,1.62662,0.67411,1.22152,0.92663,0.94783,0.92073,0.46389,1.71076,0.62766,1.24563,0.000729725,0.000729725,0.000729725
